Date,Open,High,Low,Close
2019-12-02 03-AM,7398.56,7398.79,7368.99,7368.99
2019-12-02 02-AM,7397.17,7420.56,7381.4,7398.56
2019-12-02 01-AM,7367.44,7415.14,7352.67,7397.17
2019-12-02 12-AM,7390.89,7411,7347.21,7367.44
2019-12-01 11-PM,7379.99,7436.81,7378,7390.89
2019-12-01 10-PM,7366.66,7414.27,7329.89,7379.99
2019-12-01 09-PM,7350.9,7380,7306.18,7366.66
2019-12-01 08-PM,7358.39,7383,7340.16,7350.9
2019-12-01 07-PM,7309.08,7362.48,7280,7358.39
2019-12-01 06-PM,7323.22,7332.59,7295,7309.08
2019-12-01 05-PM,7324.78,7337.96,7290.24,7323.22
2019-12-01 04-PM,7306.22,7348.22,7275.24,7324.78
2019-12-01 03-PM,7391.62,7410.91,7267.52,7306.22
2019-12-01 02-PM,7440.06,7477.29,7385.1,7391.62
2019-12-01 01-PM,7352.79,7474.91,7352.79,7440.06
2019-12-01 12-PM,7313.8,7378.07,7313.15,7352.79
2019-12-01 11-AM,7366.47,7387.58,7310,7313.8
2019-12-01 10-AM,7307.66,7390,7285,7366.47
2019-12-01 09-AM,7289.79,7325.8,7210,7307.66
2019-12-01 08-AM,7277.44,7318.97,7251.78,7289.79
2019-12-01 07-AM,7304.87,7344.34,7255.19,7277.44
2019-12-01 06-AM,7307.05,7330,7278.1,7304.87
2019-12-01 05-AM,7332.82,7339.51,7245,7307.05
2019-12-01 04-AM,7289.06,7347,7260.81,7332.82
2019-12-01 03-AM,7312.97,7327.75,7228.99,7289.06
2019-12-01 02-AM,7395.41,7437.3,7290.05,7312.97
2019-12-01 01-AM,7480.61,7489,7366.32,7395.41
2019-12-01 12-AM,7541.89,7541.89,7455.08,7480.61
2019-11-30 11-PM,7535.98,7559,7532.63,7541.89
2019-11-30 10-PM,7541.49,7561.95,7530,7535.98
2019-11-30 09-PM,7503.6,7543,7500.01,7541.49
2019-11-30 08-PM,7506.4,7515.25,7472.74,7503.6
2019-11-30 07-PM,7475.02,7529.48,7466.73,7506.4
2019-11-30 06-PM,7478.59,7511.05,7461.76,7475.02
2019-11-30 05-PM,7592.98,7593.33,7441,7478.59
2019-11-30 04-PM,7539.4,7613.2,7493,7592.98
2019-11-30 03-PM,7554.56,7587.8,7510,7539.4
2019-11-30 02-PM,7635.06,7653.96,7535.33,7554.56
2019-11-30 01-PM,7682.94,7690.98,7621,7635.06
2019-11-30 12-PM,7656.21,7717.15,7638.24,7682.94
2019-11-30 11-AM,7709.01,7718.02,7623.38,7656.21
2019-11-30 10-AM,7715.09,7810,7628.44,7709.01
2019-11-30 09-AM,7733.87,7742,7680,7715.09
2019-11-30 08-AM,7748.92,7758.18,7731.83,7733.87
2019-11-30 07-AM,7735.65,7750,7722,7748.92
2019-11-30 06-AM,7756.95,7760.43,7732.8,7735.65
2019-11-30 05-AM,7732.01,7763.82,7726.02,7756.95
2019-11-30 04-AM,7740.22,7741.42,7714.74,7732.01
2019-11-30 03-AM,7732.21,7742.52,7715.72,7740.22
2019-11-30 02-AM,7744.32,7745.86,7720.54,7732.21
2019-11-30 01-AM,7760.31,7770,7732.58,7744.32
2019-11-30 12-AM,7739.68,7769.26,7724.64,7760.31
2019-11-29 11-PM,7728.47,7751.43,7715,7739.68
2019-11-29 10-PM,7689.96,7729.9,7685.67,7728.47
2019-11-29 09-PM,7730.69,7736.56,7664,7689.96
2019-11-29 08-PM,7711.93,7767.95,7703.07,7730.69
2019-11-29 07-PM,7740,7747.99,7675,7711.93
2019-11-29 06-PM,7747.93,7760,7735.65,7740
2019-11-29 05-PM,7742.97,7758.4,7725.21,7747.93
2019-11-29 04-PM,7807.99,7850,7712,7742.97
2019-11-29 03-PM,7749.11,7830,7725,7807.99
2019-11-29 02-PM,7743.03,7790,7705.1,7749.11
2019-11-29 01-PM,7594.95,7777.72,7562,7743.03
2019-11-29 12-PM,7514.24,7619.9,7413,7594.95
2019-11-29 11-AM,7535.29,7561,7495,7514.24
2019-11-29 10-AM,7565.28,7600,7531.42,7535.29
2019-11-29 09-AM,7501.89,7589,7499.99,7565.28
2019-11-29 08-AM,7509.14,7534.6,7491.66,7501.89
2019-11-29 07-AM,7471.8,7533.48,7460.02,7509.14
2019-11-29 06-AM,7461.79,7474.33,7446.53,7471.8
2019-11-29 05-AM,7472.41,7479.99,7440,7461.79
2019-11-29 04-AM,7488.05,7500.04,7461.81,7472.41
2019-11-29 03-AM,7453.55,7517.54,7451.67,7488.05
2019-11-29 02-AM,7455.5,7464.86,7436,7453.55
2019-11-29 01-AM,7469.31,7485,7430,7455.5
2019-11-29 12-AM,7419.49,7485.97,7362.3,7469.31
2019-11-28 11-PM,7386.19,7443.03,7360,7419.49
2019-11-28 10-PM,7548.39,7561.01,7365,7386.19
2019-11-28 09-PM,7564.93,7588.31,7529.06,7548.39
2019-11-28 08-PM,7608.44,7622.67,7544.53,7564.93
2019-11-28 07-PM,7580.86,7643,7575.63,7608.44
2019-11-28 06-PM,7576.49,7624.97,7561.55,7580.86
2019-11-28 05-PM,7599.36,7611.68,7561.56,7576.49
2019-11-28 04-PM,7609.28,7614.76,7526.02,7599.36
2019-11-28 03-PM,7459.51,7640.49,7449.02,7609.28
2019-11-28 02-PM,7455.67,7482.37,7439.99,7459.51
2019-11-28 01-PM,7444.12,7468,7437.21,7455.67
2019-11-28 12-PM,7479.54,7479.77,7418,7444.12
2019-11-28 11-AM,7478.58,7490.89,7446.03,7479.54
2019-11-28 10-AM,7508.59,7509.34,7439.41,7478.58
2019-11-28 09-AM,7510.97,7541.27,7453.24,7508.59
2019-11-28 08-AM,7494.57,7519.58,7460,7510.97
2019-11-28 07-AM,7503.01,7544.65,7484.15,7494.57
2019-11-28 06-AM,7448.94,7534.91,7418.34,7503.01
2019-11-28 05-AM,7474.78,7489.17,7414.02,7448.94
2019-11-28 04-AM,7489.17,7509.75,7458.88,7474.78
2019-11-28 03-AM,7515.37,7527.63,7481.22,7489.17
2019-11-28 02-AM,7503.68,7528.99,7462.05,7515.37
2019-11-28 01-AM,7559,7559.03,7489,7503.68
2019-11-28 12-AM,7508.52,7569.19,7503.08,7559
2019-11-27 11-PM,7520.8,7543.27,7485.56,7508.52
2019-11-27 10-PM,7537.5,7594.86,7501.98,7520.8
2019-11-27 09-PM,7553.79,7565.57,7475,7537.5
2019-11-27 08-PM,7563.81,7655,7525,7553.79
2019-11-27 07-PM,7492.86,7576.12,7492.86,7563.81
2019-11-27 06-PM,7555.03,7654.33,7492.02,7492.86
2019-11-27 05-PM,7475,7612,7455.72,7555.03
2019-11-27 04-PM,7305.58,7517,7210.09,7475
2019-11-27 03-PM,7225.7,7350,7201,7305.58
2019-11-27 02-PM,7255.16,7269.15,7175,7225.7
2019-11-27 01-PM,7232.55,7277.43,7229.08,7255.16
2019-11-27 12-PM,7147.74,7366,7118,7232.55
2019-11-27 11-AM,6906.62,7168.76,6903.72,7147.74
2019-11-27 10-AM,6887.59,6937,6845.98,6906.62
2019-11-27 09-AM,7034.61,7037.97,6840,6887.59
2019-11-27 08-AM,7069.4,7089.53,7027.03,7034.61
2019-11-27 07-AM,7084.24,7120.6,7057.73,7069.4
2019-11-27 06-AM,7062.97,7100,7044.49,7084.24
2019-11-27 05-AM,7064.57,7079,7040,7062.97
2019-11-27 04-AM,7071.27,7096.28,7034,7064.57
2019-11-27 03-AM,7139.37,7146.06,7044,7071.27
2019-11-27 02-AM,7148.12,7158.23,7128.5,7139.37
2019-11-27 01-AM,7156.37,7177.76,7122.17,7148.12
2019-11-27 12-AM,7156.14,7169,7118.94,7156.37
2019-11-26 11-PM,7137.73,7178.71,7122.23,7156.14
2019-11-26 10-PM,7106.95,7149.91,7075,7137.73
2019-11-26 09-PM,7104.5,7158,7101.69,7106.95
2019-11-26 08-PM,7076.69,7109.97,7064,7104.5
2019-11-26 07-PM,7094.44,7130,7067.37,7076.69
2019-11-26 06-PM,7078.48,7094.99,7030.94,7094.44
2019-11-26 05-PM,7114.75,7122,7058.81,7078.48
2019-11-26 04-PM,7095.34,7149.25,7080,7114.75
2019-11-26 03-PM,7068.35,7112.79,7054.97,7095.34
2019-11-26 02-PM,7055.27,7107.9,7017.48,7068.35
2019-11-26 01-PM,7134.96,7134.96,7031,7055.27
2019-11-26 12-PM,7170.52,7220,7100.74,7134.96
2019-11-26 11-AM,7162.05,7205,7021.64,7170.52
2019-11-26 10-AM,7161.1,7192.56,7150.51,7162.05
2019-11-26 09-AM,7168,7188.45,7135,7161.1
2019-11-26 08-AM,7176.35,7270,7126.53,7168
2019-11-26 07-AM,7165,7199.97,7126,7176.35
2019-11-26 06-AM,7247.49,7340,7162.15,7165
2019-11-26 05-AM,7187.49,7297.87,7186,7247.49
2019-11-26 04-AM,7245.85,7246,7181.09,7187.49
