Date,Open,High,Low,Close
2019-12-02 03-AM,0.007239,0.007258,0.007239,0.007258
2019-12-02 02-AM,0.007204,0.007276,0.007192,0.007239
2019-12-02 01-AM,0.007197,0.007211,0.007191,0.007204
2019-12-02 12-AM,0.007174,0.007206,0.00717,0.007197
2019-12-01 11-PM,0.0072,0.007219,0.007172,0.007174
2019-12-01 10-PM,0.007254,0.007268,0.0072,0.0072
2019-12-01 09-PM,0.007228,0.007264,0.007224,0.007254
2019-12-01 08-PM,0.007255,0.007277,0.007223,0.007228
2019-12-01 07-PM,0.00728,0.0073,0.007252,0.007255
2019-12-01 06-PM,0.00729,0.007298,0.007272,0.00728
2019-12-01 05-PM,0.007297,0.007301,0.007253,0.00729
2019-12-01 04-PM,0.007295,0.007337,0.007273,0.007297
2019-12-01 03-PM,0.007332,0.007332,0.00725,0.007295
2019-12-01 02-PM,0.007314,0.007364,0.007287,0.007332
2019-12-01 01-PM,0.00724,0.007324,0.007231,0.007314
2019-12-01 12-PM,0.00723,0.007259,0.007197,0.00724
2019-12-01 11-AM,0.007236,0.007248,0.007218,0.00723
2019-12-01 10-AM,0.007251,0.007264,0.007221,0.007236
2019-12-01 09-AM,0.007203,0.007263,0.007198,0.007251
2019-12-01 08-AM,0.007208,0.007254,0.007201,0.007203
2019-12-01 07-AM,0.007213,0.007251,0.007208,0.007208
2019-12-01 06-AM,0.007225,0.00724,0.007188,0.007213
2019-12-01 05-AM,0.00724,0.007267,0.007217,0.007225
2019-12-01 04-AM,0.007207,0.007268,0.007205,0.00724
2019-12-01 03-AM,0.007216,0.00726,0.007191,0.007207
2019-12-01 02-AM,0.007248,0.007257,0.007214,0.007216
2019-12-01 01-AM,0.00729,0.007295,0.007248,0.007248
2019-12-01 12-AM,0.00729,0.007312,0.007286,0.00729
2019-11-30 11-PM,0.007307,0.007315,0.007288,0.00729
2019-11-30 10-PM,0.007309,0.007321,0.007291,0.007307
2019-11-30 09-PM,0.007313,0.007338,0.007299,0.007309
2019-11-30 08-PM,0.007284,0.007325,0.007283,0.007313
2019-11-30 07-PM,0.007299,0.0073,0.007261,0.007284
2019-11-30 06-PM,0.007331,0.007342,0.007295,0.007299
2019-11-30 05-PM,0.007356,0.007384,0.007331,0.007331
2019-11-30 04-PM,0.007341,0.007376,0.007336,0.007356
2019-11-30 03-PM,0.007262,0.007343,0.007262,0.007341
2019-11-30 02-PM,0.007242,0.007298,0.007229,0.007262
2019-11-30 01-PM,0.007249,0.007264,0.007228,0.007242
2019-11-30 12-PM,0.00723,0.007252,0.007207,0.007249
2019-11-30 11-AM,0.007226,0.007262,0.007215,0.00723
2019-11-30 10-AM,0.007213,0.007244,0.007205,0.007226
2019-11-30 09-AM,0.007331,0.007333,0.00719,0.007213
2019-11-30 08-AM,0.007295,0.007335,0.007279,0.007331
2019-11-30 07-AM,0.007288,0.007314,0.007278,0.007295
2019-11-30 06-AM,0.007317,0.007331,0.007287,0.007288
2019-11-30 05-AM,0.007332,0.007356,0.007305,0.007317
2019-11-30 04-AM,0.007393,0.007408,0.007313,0.007332
2019-11-30 03-AM,0.007388,0.007398,0.007355,0.007393
2019-11-30 02-AM,0.00739,0.007422,0.007377,0.007388
2019-11-30 01-AM,0.007366,0.007468,0.007366,0.00739
2019-11-30 12-AM,0.007368,0.007431,0.00733,0.007366
2019-11-29 11-PM,0.007297,0.007368,0.007295,0.007368
2019-11-29 10-PM,0.007316,0.007331,0.007292,0.007297
2019-11-29 09-PM,0.007337,0.00735,0.007295,0.007316
2019-11-29 08-PM,0.007353,0.00739,0.00733,0.007337
2019-11-29 07-PM,0.00735,0.007396,0.007334,0.007353
2019-11-29 06-PM,0.007362,0.007371,0.007339,0.00735
2019-11-29 05-PM,0.007348,0.007401,0.007327,0.007362
2019-11-29 04-PM,0.007434,0.007471,0.007326,0.007348
2019-11-29 03-PM,0.007449,0.007649,0.007423,0.007434
2019-11-29 02-PM,0.007297,0.007538,0.007297,0.007449
2019-11-29 01-PM,0.007148,0.007473,0.007143,0.007297
2019-11-29 12-PM,0.007169,0.0072,0.007148,0.007148
2019-11-29 11-AM,0.007136,0.007182,0.007136,0.007169
2019-11-29 10-AM,0.007189,0.007193,0.007136,0.007136
2019-11-29 09-AM,0.007156,0.007195,0.007153,0.007189
2019-11-29 08-AM,0.007187,0.007191,0.007153,0.007156
2019-11-29 07-AM,0.007187,0.00722,0.007153,0.007187
2019-11-29 06-AM,0.007183,0.007234,0.007174,0.007187
2019-11-29 05-AM,0.00722,0.007248,0.007174,0.007183
2019-11-29 04-AM,0.007191,0.00722,0.007128,0.00722
2019-11-29 03-AM,0.007207,0.00731,0.007185,0.007191
