Date,Open,High,Low,Close
2019-12-02 03-AM,0.0003763,0.0003764,0.0003757,0.000376
2019-12-02 02-AM,0.0003757,0.0003769,0.0003753,0.0003763
2019-12-02 01-AM,0.0003748,0.0003769,0.0003746,0.0003757
2019-12-02 12-AM,0.000375,0.0003756,0.0003741,0.0003748
2019-12-01 11-PM,0.0003792,0.0003792,0.0003748,0.000375
2019-12-01 10-PM,0.0003765,0.0003796,0.0003749,0.0003792
2019-12-01 09-PM,0.0003772,0.000378,0.0003759,0.0003765
2019-12-01 08-PM,0.000375,0.0003774,0.000375,0.0003772
2019-12-01 07-PM,0.0003771,0.0003784,0.000375,0.000375
2019-12-01 06-PM,0.0003772,0.0003776,0.0003764,0.0003771
2019-12-01 05-PM,0.0003763,0.0003777,0.000376,0.0003772
2019-12-01 04-PM,0.0003765,0.0003799,0.0003753,0.0003763
2019-12-01 03-PM,0.0003787,0.0003796,0.000374,0.0003765
2019-12-01 02-PM,0.0003791,0.0003825,0.000378,0.0003787
2019-12-01 01-PM,0.0003686,0.0003817,0.0003685,0.0003791
2019-12-01 12-PM,0.0003682,0.0003689,0.0003673,0.0003686
2019-12-01 11-AM,0.0003673,0.0003684,0.0003663,0.0003682
2019-12-01 10-AM,0.0003682,0.0003687,0.0003667,0.0003673
2019-12-01 09-AM,0.0003673,0.0003688,0.0003666,0.0003682
2019-12-01 08-AM,0.0003688,0.0003689,0.0003672,0.0003673
2019-12-01 07-AM,0.0003684,0.000369,0.0003675,0.0003688
2019-12-01 06-AM,0.0003693,0.0003696,0.0003681,0.0003684
2019-12-01 05-AM,0.0003699,0.0003707,0.0003688,0.0003693
2019-12-01 04-AM,0.0003687,0.0003699,0.000368,0.0003699
2019-12-01 03-AM,0.0003671,0.0003703,0.0003671,0.0003687
2019-12-01 02-AM,0.0003661,0.0003685,0.0003639,0.0003671
2019-12-01 01-AM,0.0003649,0.0003675,0.0003647,0.0003661
2019-12-01 12-AM,0.0003639,0.0003654,0.0003631,0.0003649
2019-11-30 11-PM,0.0003652,0.0003653,0.0003639,0.0003639
2019-11-30 10-PM,0.0003653,0.0003656,0.000364,0.0003652
2019-11-30 09-PM,0.0003653,0.0003663,0.0003648,0.0003653
2019-11-30 08-PM,0.0003648,0.0003662,0.0003648,0.0003653
2019-11-30 07-PM,0.0003655,0.0003661,0.0003644,0.0003648
2019-11-30 06-PM,0.000366,0.0003665,0.000365,0.0003655
2019-11-30 05-PM,0.0003638,0.0003663,0.0003635,0.000366
2019-11-30 04-PM,0.0003636,0.0003655,0.000363,0.0003638
2019-11-30 03-PM,0.0003617,0.0003639,0.0003612,0.0003636
2019-11-30 02-PM,0.0003584,0.000362,0.0003574,0.0003617
2019-11-30 01-PM,0.0003609,0.0003613,0.0003572,0.0003584
2019-11-30 12-PM,0.0003609,0.000362,0.0003604,0.0003609
2019-11-30 11-AM,0.0003605,0.0003614,0.0003595,0.0003609
2019-11-30 10-AM,0.000359,0.0003616,0.0003584,0.0003605
2019-11-30 09-AM,0.0003606,0.000361,0.0003586,0.000359
2019-11-30 08-AM,0.0003618,0.0003618,0.0003598,0.0003606
2019-11-30 07-AM,0.0003598,0.000363,0.000359,0.0003618
2019-11-30 06-AM,0.0003596,0.0003599,0.000359,0.0003598
2019-11-30 05-AM,0.0003592,0.0003598,0.0003581,0.0003596
2019-11-30 04-AM,0.0003596,0.0003596,0.0003565,0.0003592
2019-11-30 03-AM,0.0003597,0.0003599,0.0003587,0.0003596
2019-11-30 02-AM,0.0003607,0.0003609,0.0003593,0.0003597
2019-11-30 01-AM,0.0003611,0.0003625,0.0003606,0.0003607
2019-11-30 12-AM,0.0003608,0.000363,0.0003593,0.0003611
2019-11-29 11-PM,0.0003603,0.0003612,0.0003587,0.0003608
2019-11-29 10-PM,0.0003615,0.0003618,0.00036,0.0003603
2019-11-29 09-PM,0.0003608,0.0003619,0.0003604,0.0003615
2019-11-29 08-PM,0.0003616,0.0003618,0.0003596,0.0003608
2019-11-29 07-PM,0.000361,0.0003621,0.0003598,0.0003616
2019-11-29 06-PM,0.0003605,0.0003613,0.00036,0.000361
2019-11-29 05-PM,0.0003598,0.0003615,0.0003597,0.0003605
2019-11-29 04-PM,0.0003609,0.0003613,0.0003581,0.0003598
2019-11-29 03-PM,0.0003589,0.0003625,0.000357,0.0003609
2019-11-29 02-PM,0.0003579,0.0003599,0.0003577,0.0003589
2019-11-29 01-PM,0.0003635,0.0003678,0.0003578,0.0003579
2019-11-29 12-PM,0.0003656,0.0003672,0.0003617,0.0003635
2019-11-29 11-AM,0.0003649,0.000367,0.0003638,0.0003656
2019-11-29 10-AM,0.0003635,0.0003656,0.000363,0.0003649
2019-11-29 09-AM,0.000358,0.0003662,0.000358,0.0003635
2019-11-29 08-AM,0.0003592,0.0003598,0.0003573,0.000358
2019-11-29 07-AM,0.0003558,0.0003595,0.0003553,0.0003592
2019-11-29 06-AM,0.0003572,0.0003576,0.0003552,0.0003558
2019-11-29 05-AM,0.0003566,0.0003575,0.0003561,0.0003572
2019-11-29 04-AM,0.0003562,0.0003572,0.0003556,0.0003566
2019-11-29 03-AM,0.0003549,0.0003564,0.0003546,0.0003562
2019-11-29 02-AM,0.0003558,0.0003564,0.0003547,0.0003549
2019-11-29 01-AM,0.0003545,0.000357,0.0003533,0.0003558
2019-11-29 12-AM,0.0003536,0.0003573,0.000353,0.0003545
2019-11-28 11-PM,0.0003533,0.0003537,0.0003506,0.0003536
2019-11-28 10-PM,0.0003483,0.0003539,0.0003483,0.0003533
2019-11-28 09-PM,0.0003497,0.0003497,0.0003462,0.0003483
2019-11-28 08-PM,0.0003502,0.0003517,0.0003492,0.0003497
2019-11-28 07-PM,0.0003509,0.0003512,0.0003496,0.0003502
2019-11-28 06-PM,0.0003518,0.0003523,0.0003504,0.0003509
2019-11-28 05-PM,0.0003518,0.0003523,0.0003507,0.0003518
2019-11-28 04-PM,0.0003504,0.0003531,0.0003504,0.0003518
2019-11-28 03-PM,0.0003555,0.0003565,0.0003501,0.0003504
2019-11-28 02-PM,0.0003555,0.0003559,0.0003538,0.0003555
2019-11-28 01-PM,0.0003554,0.0003563,0.0003543,0.0003555
2019-11-28 12-PM,0.0003572,0.0003574,0.0003544,0.0003554
2019-11-28 11-AM,0.0003557,0.0003576,0.0003555,0.0003572
2019-11-28 10-AM,0.0003567,0.0003571,0.0003546,0.0003557
2019-11-28 09-AM,0.0003572,0.0003582,0.000355,0.0003567
2019-11-28 08-AM,0.0003564,0.0003579,0.0003555,0.0003572
2019-11-28 07-AM,0.0003569,0.0003578,0.0003559,0.0003564
2019-11-28 06-AM,0.0003575,0.0003592,0.0003566,0.0003569
2019-11-28 05-AM,0.0003546,0.0003576,0.0003545,0.0003575
2019-11-28 04-AM,0.000356,0.0003563,0.0003537,0.0003546
2019-11-28 03-AM,0.0003561,0.0003568,0.0003555,0.000356
2019-11-28 02-AM,0.000355,0.0003563,0.0003549,0.0003561
2019-11-28 01-AM,0.000356,0.0003567,0.0003548,0.000355
2019-11-28 12-AM,0.0003567,0.0003574,0.000355,0.000356
2019-11-27 11-PM,0.0003568,0.0003575,0.0003555,0.0003567
2019-11-27 10-PM,0.000357,0.0003585,0.0003559,0.0003568
2019-11-27 09-PM,0.0003571,0.0003585,0.0003564,0.000357
2019-11-27 08-PM,0.0003533,0.0003594,0.0003529,0.0003571
2019-11-27 07-PM,0.0003541,0.0003545,0.0003529,0.0003533
2019-11-27 06-PM,0.0003536,0.0003543,0.0003513,0.0003541
2019-11-27 05-PM,0.0003558,0.0003574,0.0003526,0.0003536
2019-11-27 04-PM,0.0003616,0.0003632,0.0003539,0.0003558
2019-11-27 03-PM,0.0003627,0.0003632,0.0003609,0.0003616
2019-11-27 02-PM,0.0003636,0.0003644,0.0003621,0.0003627
2019-11-27 01-PM,0.0003625,0.0003636,0.0003621,0.0003636
2019-11-27 12-PM,0.0003659,0.0003694,0.0003619,0.0003625
2019-11-27 11-AM,0.0003644,0.0003677,0.0003603,0.0003659
2019-11-27 10-AM,0.0003635,0.0003657,0.0003618,0.0003644
2019-11-27 09-AM,0.0003631,0.0003665,0.0003631,0.0003635
2019-11-27 08-AM,0.0003637,0.0003639,0.0003615,0.0003631
2019-11-27 07-AM,0.0003636,0.0003643,0.0003623,0.0003637
2019-11-27 06-AM,0.0003629,0.0003636,0.0003617,0.0003636
2019-11-27 05-AM,0.0003634,0.0003642,0.0003621,0.0003629
2019-11-27 04-AM,0.0003625,0.0003645,0.0003617,0.0003634
2019-11-27 03-AM,0.0003624,0.0003639,0.0003608,0.0003625
2019-11-27 02-AM,0.0003626,0.0003633,0.0003622,0.0003624
2019-11-27 01-AM,0.0003628,0.0003632,0.0003616,0.0003626
2019-11-27 12-AM,0.0003649,0.000365,0.0003607,0.0003628
2019-11-26 11-PM,0.0003667,0.0003669,0.000364,0.0003649
2019-11-26 10-PM,0.0003658,0.0003676,0.0003654,0.0003667
2019-11-26 09-PM,0.0003674,0.0003698,0.0003644,0.0003658
2019-11-26 08-PM,0.0003669,0.0003685,0.0003668,0.0003674
2019-11-26 07-PM,0.0003665,0.0003671,0.0003647,0.0003669
2019-11-26 06-PM,0.0003663,0.0003672,0.0003656,0.0003665
2019-11-26 05-PM,0.0003665,0.000367,0.0003654,0.0003663
2019-11-26 04-PM,0.0003673,0.0003685,0.0003658,0.0003665
2019-11-26 03-PM,0.0003663,0.0003677,0.0003644,0.0003673
2019-11-26 02-PM,0.0003631,0.0003669,0.0003631,0.0003663
2019-11-26 01-PM,0.0003604,0.0003637,0.0003602,0.0003631
2019-11-26 12-PM,0.0003599,0.0003619,0.0003592,0.0003604
2019-11-26 11-AM,0.000359,0.0003627,0.0003589,0.0003599
2019-11-26 10-AM,0.0003607,0.0003607,0.0003587,0.000359
2019-11-26 09-AM,0.00036,0.0003612,0.0003596,0.0003607
2019-11-26 08-AM,0.0003595,0.0003614,0.0003577,0.00036
2019-11-26 07-AM,0.0003593,0.0003604,0.0003579,0.0003595
2019-11-26 06-AM,0.0003585,0.00036,0.0003563,0.0003593
2019-11-26 05-AM,0.0003613,0.0003631,0.0003585,0.0003585
2019-11-26 04-AM,0.0003634,0.0003641,0.0003606,0.0003613
2019-11-26 03-AM,0.0003587,0.0003646,0.0003581,0.0003634
2019-11-26 02-AM,0.0003574,0.0003595,0.000357,0.0003587
2019-11-26 01-AM,0.0003565,0.0003582,0.0003559,0.0003574
2019-11-26 12-AM,0.0003541,0.0003565,0.0003536,0.0003565
2019-11-25 11-PM,0.0003565,0.000357,0.0003534,0.0003541
2019-11-25 10-PM,0.0003574,0.0003577,0.0003562,0.0003565
2019-11-25 09-PM,0.0003572,0.000359,0.0003564,0.0003574
2019-11-25 08-PM,0.0003561,0.0003578,0.0003557,0.0003572
2019-11-25 07-PM,0.0003574,0.0003577,0.0003555,0.0003561
2019-11-25 06-PM,0.0003579,0.0003585,0.0003569,0.0003574
2019-11-25 05-PM,0.0003577,0.0003599,0.0003569,0.0003579
2019-11-25 04-PM,0.0003577,0.0003595,0.0003532,0.0003577
2019-11-25 03-PM,0.0003539,0.0003606,0.0003522,0.0003577
2019-11-25 02-PM,0.0003542,0.0003545,0.000352,0.0003539
2019-11-25 01-PM,0.0003565,0.0003577,0.0003514,0.0003542
2019-11-25 12-PM,0.0003627,0.0003644,0.0003548,0.0003565
2019-11-25 11-AM,0.0003653,0.0003715,0.0003618,0.0003627
2019-11-25 10-AM,0.0003587,0.0003663,0.0003578,0.0003653
2019-11-25 09-AM,0.0003581,0.0003605,0.0003569,0.0003587
2019-11-25 08-AM,0.0003584,0.0003588,0.0003565,0.0003581
2019-11-25 07-AM,0.0003588,0.000359,0.0003568,0.0003584
2019-11-25 06-AM,0.0003593,0.0003602,0.000357,0.0003588
2019-11-25 05-AM,0.0003564,0.0003609,0.0003552,0.0003593
2019-11-25 04-AM,0.0003529,0.0003596,0.0003521,0.0003564
2019-11-25 03-AM,0.0003529,0.0003529,0.0003529,0.0003529
2019-11-25 02-AM,0.0003529,0.0003529,0.0003529,0.0003529
2019-11-25 01-AM,0.0003513,0.0003556,0.0003466,0.0003529
2019-11-25 12-AM,0.0003496,0.0003521,0.0003424,0.0003513
2019-11-24 11-PM,0.0003537,0.0003547,0.0003486,0.0003496
2019-11-24 10-PM,0.0003511,0.000354,0.000351,0.0003537
2019-11-24 09-PM,0.0003514,0.0003528,0.0003505,0.0003511
2019-11-24 08-PM,0.0003517,0.0003521,0.0003495,0.0003514
2019-11-24 07-PM,0.000352,0.0003528,0.0003514,0.0003517
2019-11-24 06-PM,0.000353,0.0003535,0.0003505,0.000352
2019-11-24 05-PM,0.0003535,0.0003546,0.0003517,0.000353
2019-11-24 04-PM,0.0003545,0.0003577,0.00034,0.0003535
2019-11-24 03-PM,0.00036,0.0003608,0.0003511,0.0003545
2019-11-24 02-PM,0.0003628,0.0003642,0.0003572,0.00036
2019-11-24 01-PM,0.0003639,0.0003641,0.0003622,0.0003628
2019-11-24 12-PM,0.0003664,0.000367,0.0003615,0.0003639
2019-11-24 11-AM,0.0003684,0.0003685,0.0003648,0.0003664
