Date,Open,High,Low,Close
2019-12-02 03-AM,0.0005333,0.0005337,0.0005321,0.0005328
2019-12-02 02-AM,0.0005316,0.0005343,0.0005311,0.0005333
2019-12-02 01-AM,0.000531,0.0005328,0.0005308,0.0005316
2019-12-02 12-AM,0.0005315,0.000533,0.0005307,0.000531
2019-12-01 11-PM,0.0005356,0.0005359,0.0005308,0.0005315
2019-12-01 10-PM,0.0005325,0.000537,0.0005314,0.0005356
2019-12-01 09-PM,0.0005332,0.0005359,0.000532,0.0005325
2019-12-01 08-PM,0.0005323,0.0005339,0.0005318,0.0005332
2019-12-01 07-PM,0.0005335,0.0005376,0.0005322,0.0005323
2019-12-01 06-PM,0.0005358,0.0005366,0.0005327,0.0005335
2019-12-01 05-PM,0.0005353,0.0005365,0.0005342,0.0005358
2019-12-01 04-PM,0.0005352,0.0005369,0.0005342,0.0005353
2019-12-01 03-PM,0.0005338,0.0005359,0.0005319,0.0005352
2019-12-01 02-PM,0.0005352,0.0005355,0.0005323,0.0005338
2019-12-01 01-PM,0.0005294,0.000539,0.0005283,0.0005352
2019-12-01 12-PM,0.0005296,0.0005308,0.000529,0.0005294
2019-12-01 11-AM,0.0005262,0.0005299,0.0005259,0.0005296
2019-12-01 10-AM,0.0005283,0.0005294,0.0005262,0.0005262
2019-12-01 09-AM,0.0005272,0.0005302,0.0005261,0.0005283
2019-12-01 08-AM,0.0005289,0.0005299,0.000527,0.0005272
2019-12-01 07-AM,0.0005282,0.0005294,0.0005268,0.0005289
2019-12-01 06-AM,0.0005287,0.0005294,0.0005261,0.0005282
2019-12-01 05-AM,0.0005265,0.00053,0.0005263,0.0005287
2019-12-01 04-AM,0.0005265,0.0005278,0.0005245,0.0005265
2019-12-01 03-AM,0.0005263,0.00053,0.0005257,0.0005265
2019-12-01 02-AM,0.0005254,0.00053,0.0005159,0.0005263
2019-12-01 01-AM,0.0005227,0.0005265,0.0005211,0.0005254
2019-12-01 12-AM,0.0005221,0.0005239,0.0005184,0.0005227
2019-11-30 11-PM,0.0005238,0.0005238,0.0005219,0.0005221
2019-11-30 10-PM,0.0005224,0.0005249,0.0005215,0.0005238
2019-11-30 09-PM,0.0005242,0.0005242,0.0005218,0.0005224
2019-11-30 08-PM,0.0005234,0.0005255,0.0005232,0.0005242
