Date,Open,High,Low,Close
2019-12-02 03-AM,150.93,150.95,150.37,150.37
2019-12-02 02-AM,151.03,151.29,150.54,150.93
2019-12-02 01-AM,150.38,151.42,149.93,151.03
2019-12-02 12-AM,150.73,151.21,149.76,150.38
2019-12-01 11-PM,151.36,152.05,150.64,150.73
2019-12-01 10-PM,150.87,151.79,150.6,151.36
2019-12-01 09-PM,150.07,151,149.56,150.87
2019-12-01 08-PM,150.22,150.7,149.9,150.07
2019-12-01 07-PM,150.13,150.41,149.41,150.22
2019-12-01 06-PM,150.23,150.72,149.9,150.13
2019-12-01 05-PM,150.06,150.27,149.49,150.23
2019-12-01 04-PM,149.39,150.53,149.1,150.06
2019-12-01 03-PM,150.71,150.96,149.08,149.39
2019-12-01 02-PM,151.07,152.49,150.62,150.71
2019-12-01 01-PM,148.25,151.5,148.25,151.07
2019-12-01 12-PM,147.33,148.66,147.32,148.25
2019-12-01 11-AM,147.97,148.4,147.26,147.33
2019-12-01 10-AM,147.3,148.44,146.83,147.97
2019-12-01 09-AM,146.73,147.55,145.79,147.3
2019-12-01 08-AM,146.86,147.49,146.3,146.73
2019-12-01 07-AM,147.26,147.89,146.49,146.86
2019-12-01 06-AM,147.79,148.11,147.14,147.26
2019-12-01 05-AM,148.13,148.67,146.99,147.79
2019-12-01 04-AM,147.14,148.17,146.74,148.13
2019-12-01 03-AM,146.66,147.48,145.84,147.14
2019-12-01 02-AM,148.36,149.13,146.31,146.66
2019-12-01 01-AM,150.7,150.74,147.88,148.36
2019-12-01 12-AM,151.37,151.43,150.23,150.7
2019-11-30 11-PM,151.42,152.17,151.37,151.37
2019-11-30 10-PM,151.85,152.29,151.38,151.42
2019-11-30 09-PM,150.9,151.87,150.78,151.85
2019-11-30 08-PM,150.56,150.98,150.16,150.9
2019-11-30 07-PM,150.2,151.28,150.19,150.56
2019-11-30 06-PM,150.72,151.3,149.7,150.2
2019-11-30 05-PM,152.21,152.21,149.76,150.72
2019-11-30 04-PM,151.56,152.6,150.81,152.21
2019-11-30 03-PM,151.61,152.39,150.75,151.56
2019-11-30 02-PM,152.53,152.91,150.51,151.61
2019-11-30 01-PM,153.28,153.49,152.3,152.53
2019-11-30 12-PM,152.77,153.68,152.53,153.28
2019-11-30 11-AM,153.77,153.81,152.7,152.77
2019-11-30 10-AM,153.55,154.7,152.6,153.77
2019-11-30 09-AM,154.11,154.22,153.01,153.55
2019-11-30 08-AM,154.82,154.83,154.02,154.11
2019-11-30 07-AM,154.09,154.9,153.8,154.82
2019-11-30 06-AM,153.97,154.1,153.7,154.09
