Date,Open,High,Low,Close
2019-12-02 03-AM,47.41,47.41,47.19,47.19
2019-12-02 02-AM,47.36,47.56,47.3,47.41
2019-12-02 01-AM,47.27,47.52,47.04,47.36
2019-12-02 12-AM,47.45,47.57,47.11,47.27
2019-12-01 11-PM,47.78,47.97,47.44,47.45
2019-12-01 10-PM,47.67,47.88,47.45,47.78
2019-12-01 09-PM,47.47,47.7,47.31,47.67
2019-12-01 08-PM,47.33,47.54,47.33,47.47
2019-12-01 07-PM,47.2,47.38,47.07,47.33
2019-12-01 06-PM,47.29,47.43,47.14,47.2
2019-12-01 05-PM,47.4,47.49,47.16,47.29
2019-12-01 04-PM,47.19,47.55,47.03,47.4
2019-12-01 03-PM,47.74,47.92,47.01,47.19
2019-12-01 02-PM,48.08,48.44,47.7,47.74
2019-12-01 01-PM,46.53,48.35,46.52,48.08
2019-12-01 12-PM,46.48,46.72,46.44,46.53
2019-12-01 11-AM,46.54,46.65,46.37,46.48
2019-12-01 10-AM,46.52,46.75,46.37,46.54
2019-12-01 09-AM,46.18,46.52,45.99,46.52
2019-12-01 08-AM,46.07,46.43,45.9,46.18
2019-12-01 07-AM,46.18,46.39,45.95,46.07
2019-12-01 06-AM,46.36,46.51,46.14,46.18
2019-12-01 05-AM,46.54,46.54,46.05,46.36
2019-12-01 04-AM,45.96,46.59,45.84,46.54
2019-12-01 03-AM,45.78,45.99,45.5,45.96
2019-12-01 02-AM,46.22,46.4,45.57,45.78
2019-12-01 01-AM,46.81,46.86,46.02,46.22
2019-12-01 12-AM,47.21,47.21,46.74,46.81
2019-11-30 11-PM,47.3,47.42,47.18,47.21
2019-11-30 10-PM,47.33,47.38,47.08,47.3
2019-11-30 09-PM,47.3,47.47,47.21,47.33
2019-11-30 08-PM,46.76,47.33,46.71,47.3
2019-11-30 07-PM,46.97,47.17,46.71,46.76
2019-11-30 06-PM,47.2,47.35,46.86,46.97
2019-11-30 05-PM,47.79,47.82,46.53,47.2
2019-11-30 04-PM,47.61,48.04,47.38,47.79
2019-11-30 03-PM,47.52,47.79,47.3,47.61
