Date,Open,High,Low,Close
2019-12-02 03-AM,3.04E-05,3.04E-05,3.02E-05,3.03E-05
2019-12-02 02-AM,3.05E-05,3.05E-05,3.03E-05,3.04E-05
2019-12-02 01-AM,3.04E-05,3.06E-05,3.03E-05,3.05E-05
2019-12-02 12-AM,3.04E-05,3.06E-05,3.04E-05,3.04E-05
2019-12-01 11-PM,3.03E-05,3.04E-05,3.02E-05,3.04E-05
2019-12-01 10-PM,3.03E-05,3.04E-05,3.03E-05,3.03E-05
2019-12-01 09-PM,3.02E-05,3.04E-05,3.02E-05,3.03E-05
2019-12-01 08-PM,3.01E-05,3.03E-05,3.00E-05,3.02E-05
2019-12-01 07-PM,3.04E-05,3.04E-05,3.01E-05,3.01E-05
2019-12-01 06-PM,3.04E-05,3.04E-05,3.03E-05,3.04E-05
2019-12-01 05-PM,3.03E-05,3.04E-05,3.02E-05,3.04E-05
2019-12-01 04-PM,3.02E-05,3.04E-05,3.02E-05,3.03E-05
2019-12-01 03-PM,3.01E-05,3.03E-05,3.01E-05,3.02E-05
2019-12-01 02-PM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-12-01 01-PM,3.01E-05,3.01E-05,3.00E-05,3.01E-05
2019-12-01 12-PM,3.02E-05,3.02E-05,3.00E-05,3.01E-05
2019-12-01 11-AM,3.01E-05,3.02E-05,3.00E-05,3.02E-05
2019-12-01 10-AM,3.02E-05,3.02E-05,3.00E-05,3.01E-05
2019-12-01 09-AM,3.02E-05,3.03E-05,3.01E-05,3.02E-05
2019-12-01 08-AM,3.01E-05,3.03E-05,3.01E-05,3.02E-05
2019-12-01 07-AM,3.02E-05,3.02E-05,3.01E-05,3.01E-05
2019-12-01 06-AM,3.01E-05,3.02E-05,3.00E-05,3.02E-05
2019-12-01 05-AM,3.02E-05,3.02E-05,3.01E-05,3.01E-05
2019-12-01 04-AM,3.01E-05,3.02E-05,3.00E-05,3.02E-05
2019-12-01 03-AM,3.02E-05,3.03E-05,3.01E-05,3.01E-05
2019-12-01 02-AM,3.00E-05,3.02E-05,2.99E-05,3.02E-05
2019-12-01 01-AM,2.99E-05,3.02E-05,2.98E-05,3.00E-05
2019-12-01 12-AM,2.99E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-30 11-PM,2.99E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-30 10-PM,2.98E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-30 09-PM,2.99E-05,3.00E-05,2.98E-05,2.98E-05
2019-11-30 08-PM,2.99E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-30 07-PM,3.00E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-30 06-PM,3.01E-05,3.01E-05,2.99E-05,3.00E-05
2019-11-30 05-PM,2.98E-05,3.02E-05,2.97E-05,3.01E-05
2019-11-30 04-PM,2.98E-05,2.99E-05,2.97E-05,2.98E-05
2019-11-30 03-PM,2.97E-05,2.98E-05,2.97E-05,2.98E-05
2019-11-30 02-PM,2.97E-05,2.99E-05,2.97E-05,2.97E-05
2019-11-30 01-PM,2.97E-05,2.98E-05,2.96E-05,2.97E-05
2019-11-30 12-PM,2.97E-05,2.97E-05,2.96E-05,2.97E-05
2019-11-30 11-AM,2.96E-05,2.98E-05,2.95E-05,2.97E-05
2019-11-30 10-AM,2.96E-05,2.98E-05,2.94E-05,2.96E-05
2019-11-30 09-AM,2.97E-05,2.97E-05,2.95E-05,2.96E-05
2019-11-30 08-AM,2.98E-05,2.98E-05,2.96E-05,2.97E-05
2019-11-30 07-AM,2.97E-05,2.98E-05,2.96E-05,2.98E-05
2019-11-30 06-AM,2.97E-05,2.97E-05,2.96E-05,2.97E-05
2019-11-30 05-AM,2.96E-05,2.97E-05,2.96E-05,2.97E-05
2019-11-30 04-AM,2.97E-05,2.97E-05,2.96E-05,2.96E-05
2019-11-30 03-AM,2.97E-05,2.98E-05,2.97E-05,2.97E-05
2019-11-30 02-AM,2.98E-05,2.98E-05,2.97E-05,2.97E-05
2019-11-30 01-AM,2.97E-05,2.99E-05,2.97E-05,2.98E-05
2019-11-30 12-AM,2.97E-05,2.98E-05,2.97E-05,2.97E-05
2019-11-29 11-PM,2.97E-05,2.98E-05,2.96E-05,2.97E-05
2019-11-29 10-PM,2.97E-05,2.98E-05,2.96E-05,2.97E-05
2019-11-29 09-PM,2.97E-05,2.98E-05,2.97E-05,2.97E-05
2019-11-29 08-PM,2.98E-05,2.98E-05,2.97E-05,2.97E-05
2019-11-29 07-PM,2.97E-05,2.98E-05,2.97E-05,2.98E-05
2019-11-29 06-PM,2.96E-05,2.98E-05,2.96E-05,2.97E-05
2019-11-29 05-PM,2.96E-05,2.97E-05,2.96E-05,2.96E-05
2019-11-29 04-PM,2.96E-05,2.97E-05,2.95E-05,2.96E-05
2019-11-29 03-PM,2.99E-05,2.99E-05,2.96E-05,2.96E-05
2019-11-29 02-PM,2.98E-05,2.99E-05,2.97E-05,2.99E-05
2019-11-29 01-PM,3.01E-05,3.01E-05,2.96E-05,2.98E-05
2019-11-29 12-PM,3.02E-05,3.04E-05,3.00E-05,3.01E-05
2019-11-29 11-AM,3.01E-05,3.03E-05,3.01E-05,3.02E-05
2019-11-29 10-AM,3.00E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-29 09-AM,3.01E-05,3.01E-05,2.99E-05,3.00E-05
2019-11-29 08-AM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-29 07-AM,3.02E-05,3.03E-05,3.01E-05,3.01E-05
2019-11-29 06-AM,3.01E-05,3.03E-05,3.00E-05,3.02E-05
2019-11-29 05-AM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-29 04-AM,3.01E-05,3.01E-05,3.00E-05,3.01E-05
2019-11-29 03-AM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-29 02-AM,3.03E-05,3.03E-05,3.00E-05,3.01E-05
2019-11-29 01-AM,3.01E-05,3.03E-05,3.00E-05,3.03E-05
2019-11-29 12-AM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-28 11-PM,3.02E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-28 10-PM,3.00E-05,3.03E-05,3.00E-05,3.02E-05
2019-11-28 09-PM,3.00E-05,3.00E-05,2.98E-05,3.00E-05
2019-11-28 08-PM,3.00E-05,3.01E-05,2.99E-05,3.00E-05
2019-11-28 07-PM,3.00E-05,3.01E-05,2.99E-05,3.00E-05
2019-11-28 06-PM,3.01E-05,3.02E-05,3.00E-05,3.00E-05
2019-11-28 05-PM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-28 04-PM,3.00E-05,3.03E-05,3.00E-05,3.01E-05
2019-11-28 03-PM,3.02E-05,3.02E-05,2.99E-05,3.00E-05
2019-11-28 02-PM,3.01E-05,3.03E-05,3.01E-05,3.02E-05
2019-11-28 01-PM,3.02E-05,3.02E-05,3.01E-05,3.01E-05
2019-11-28 12-PM,3.02E-05,3.03E-05,3.02E-05,3.02E-05
2019-11-28 11-AM,3.01E-05,3.03E-05,3.01E-05,3.02E-05
2019-11-28 10-AM,3.01E-05,3.02E-05,3.01E-05,3.01E-05
2019-11-28 09-AM,3.01E-05,3.02E-05,3.00E-05,3.01E-05
2019-11-28 08-AM,3.01E-05,3.03E-05,3.01E-05,3.01E-05
2019-11-28 07-AM,3.02E-05,3.03E-05,3.00E-05,3.01E-05
2019-11-28 06-AM,3.03E-05,3.03E-05,3.01E-05,3.02E-05
2019-11-28 05-AM,3.03E-05,3.03E-05,3.02E-05,3.03E-05
2019-11-28 04-AM,3.02E-05,3.04E-05,3.02E-05,3.03E-05
2019-11-28 03-AM,3.00E-05,3.05E-05,3.00E-05,3.02E-05
2019-11-28 02-AM,2.98E-05,3.00E-05,2.98E-05,3.00E-05
2019-11-28 01-AM,2.98E-05,3.00E-05,2.98E-05,2.98E-05
2019-11-28 12-AM,2.99E-05,2.99E-05,2.98E-05,2.98E-05
2019-11-27 11-PM,2.99E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-27 10-PM,2.99E-05,3.00E-05,2.98E-05,2.99E-05
2019-11-27 09-PM,2.99E-05,3.00E-05,2.99E-05,2.99E-05
2019-11-27 08-PM,3.00E-05,3.02E-05,2.99E-05,2.99E-05
2019-11-27 07-PM,2.99E-05,3.00E-05,2.98E-05,3.00E-05
2019-11-27 06-PM,2.98E-05,2.99E-05,2.98E-05,2.99E-05
2019-11-27 05-PM,3.00E-05,3.01E-05,2.97E-05,2.98E-05
2019-11-27 04-PM,3.04E-05,3.05E-05,3.00E-05,3.00E-05
2019-11-27 03-PM,3.07E-05,3.07E-05,3.03E-05,3.04E-05
2019-11-27 02-PM,3.05E-05,3.07E-05,3.05E-05,3.07E-05
2019-11-27 01-PM,3.04E-05,3.07E-05,3.04E-05,3.05E-05
2019-11-27 12-PM,3.06E-05,3.07E-05,3.02E-05,3.04E-05
2019-11-27 11-AM,3.11E-05,3.12E-05,3.06E-05,3.06E-05
2019-11-27 10-AM,3.11E-05,3.12E-05,3.11E-05,3.11E-05
2019-11-27 09-AM,3.10E-05,3.12E-05,3.09E-05,3.11E-05
2019-11-27 08-AM,3.09E-05,3.10E-05,3.09E-05,3.10E-05
2019-11-27 07-AM,3.09E-05,3.10E-05,3.08E-05,3.09E-05
2019-11-27 06-AM,3.09E-05,3.09E-05,3.07E-05,3.09E-05
2019-11-27 05-AM,3.10E-05,3.11E-05,3.09E-05,3.09E-05
2019-11-27 04-AM,3.10E-05,3.10E-05,3.08E-05,3.10E-05
2019-11-27 03-AM,3.11E-05,3.12E-05,3.10E-05,3.10E-05
2019-11-27 02-AM,3.13E-05,3.13E-05,3.10E-05,3.11E-05
2019-11-27 01-AM,3.07E-05,3.13E-05,3.06E-05,3.13E-05
2019-11-27 12-AM,3.08E-05,3.09E-05,3.06E-05,3.07E-05
2019-11-26 11-PM,3.08E-05,3.09E-05,3.07E-05,3.08E-05
2019-11-26 10-PM,3.09E-05,3.09E-05,3.07E-05,3.08E-05
2019-11-26 09-PM,3.07E-05,3.09E-05,3.06E-05,3.09E-05
2019-11-26 08-PM,3.08E-05,3.09E-05,3.07E-05,3.07E-05
2019-11-26 07-PM,3.06E-05,3.09E-05,3.06E-05,3.08E-05
2019-11-26 06-PM,3.06E-05,3.07E-05,3.06E-05,3.06E-05
2019-11-26 05-PM,3.06E-05,3.07E-05,3.05E-05,3.06E-05
2019-11-26 04-PM,3.06E-05,3.06E-05,3.04E-05,3.06E-05
2019-11-26 03-PM,3.07E-05,3.07E-05,3.05E-05,3.06E-05
2019-11-26 02-PM,3.05E-05,3.08E-05,3.05E-05,3.07E-05
2019-11-26 01-PM,3.04E-05,3.06E-05,3.03E-05,3.05E-05
2019-11-26 12-PM,3.05E-05,3.06E-05,3.03E-05,3.04E-05
2019-11-26 11-AM,3.07E-05,3.08E-05,3.04E-05,3.05E-05
2019-11-26 10-AM,3.05E-05,3.07E-05,3.04E-05,3.07E-05
2019-11-26 09-AM,3.05E-05,3.06E-05,3.05E-05,3.05E-05
2019-11-26 08-AM,3.05E-05,3.06E-05,3.03E-05,3.05E-05
2019-11-26 07-AM,3.05E-05,3.06E-05,3.04E-05,3.05E-05
2019-11-26 06-AM,3.05E-05,3.06E-05,3.02E-05,3.05E-05
2019-11-26 05-AM,3.04E-05,3.05E-05,3.03E-05,3.05E-05
2019-11-26 04-AM,3.04E-05,3.05E-05,3.03E-05,3.04E-05
2019-11-26 03-AM,3.05E-05,3.06E-05,3.04E-05,3.04E-05
2019-11-26 02-AM,3.05E-05,3.06E-05,3.04E-05,3.05E-05
2019-11-26 01-AM,3.03E-05,3.05E-05,3.03E-05,3.05E-05
2019-11-26 12-AM,3.06E-05,3.07E-05,3.02E-05,3.03E-05
2019-11-25 11-PM,3.06E-05,3.09E-05,3.06E-05,3.06E-05
2019-11-25 10-PM,3.06E-05,3.07E-05,3.06E-05,3.06E-05
2019-11-25 09-PM,3.06E-05,3.07E-05,3.05E-05,3.06E-05
2019-11-25 08-PM,3.05E-05,3.07E-05,3.05E-05,3.06E-05
2019-11-25 07-PM,3.05E-05,3.07E-05,3.04E-05,3.05E-05
2019-11-25 06-PM,3.06E-05,3.06E-05,3.04E-05,3.05E-05
2019-11-25 05-PM,3.05E-05,3.07E-05,3.05E-05,3.06E-05
2019-11-25 04-PM,3.07E-05,3.08E-05,3.04E-05,3.05E-05
2019-11-25 03-PM,3.08E-05,3.09E-05,3.06E-05,3.07E-05
2019-11-25 02-PM,3.09E-05,3.09E-05,3.05E-05,3.08E-05
2019-11-25 01-PM,3.12E-05,3.13E-05,3.08E-05,3.09E-05
2019-11-25 12-PM,3.15E-05,3.17E-05,3.09E-05,3.12E-05
2019-11-25 11-AM,3.15E-05,3.16E-05,3.12E-05,3.15E-05
2019-11-25 10-AM,3.16E-05,3.16E-05,3.13E-05,3.15E-05
2019-11-25 09-AM,3.14E-05,3.18E-05,3.14E-05,3.16E-05
2019-11-25 08-AM,3.14E-05,3.17E-05,3.13E-05,3.14E-05
2019-11-25 07-AM,3.14E-05,3.18E-05,3.13E-05,3.14E-05
2019-11-25 06-AM,3.13E-05,3.15E-05,3.12E-05,3.14E-05
2019-11-25 05-AM,3.15E-05,3.18E-05,3.12E-05,3.13E-05
2019-11-25 04-AM,3.14E-05,3.16E-05,3.11E-05,3.15E-05
2019-11-25 03-AM,3.14E-05,3.14E-05,3.14E-05,3.14E-05
2019-11-25 02-AM,3.14E-05,3.14E-05,3.14E-05,3.14E-05
2019-11-25 01-AM,3.19E-05,3.20E-05,2.97E-05,3.14E-05
2019-11-25 12-AM,3.19E-05,3.22E-05,3.17E-05,3.19E-05
2019-11-24 11-PM,3.22E-05,3.23E-05,3.18E-05,3.19E-05
2019-11-24 10-PM,3.22E-05,3.23E-05,3.21E-05,3.22E-05
2019-11-24 09-PM,3.20E-05,3.22E-05,3.19E-05,3.22E-05
2019-11-24 08-PM,3.20E-05,3.21E-05,3.19E-05,3.20E-05
2019-11-24 07-PM,3.19E-05,3.21E-05,3.19E-05,3.20E-05
2019-11-24 06-PM,3.19E-05,3.20E-05,3.19E-05,3.19E-05
2019-11-24 05-PM,3.20E-05,3.21E-05,3.18E-05,3.19E-05
2019-11-24 04-PM,3.21E-05,3.22E-05,3.20E-05,3.20E-05
2019-11-24 03-PM,3.21E-05,3.22E-05,3.20E-05,3.21E-05
2019-11-24 02-PM,3.20E-05,3.22E-05,3.20E-05,3.21E-05
2019-11-24 01-PM,3.21E-05,3.21E-05,3.19E-05,3.20E-05
2019-11-24 12-PM,3.20E-05,3.21E-05,3.19E-05,3.21E-05
2019-11-24 11-AM,3.21E-05,3.21E-05,3.19E-05,3.20E-05
2019-11-24 10-AM,3.18E-05,3.22E-05,3.18E-05,3.21E-05
2019-11-24 09-AM,3.19E-05,3.20E-05,3.18E-05,3.18E-05
2019-11-24 08-AM,3.19E-05,3.20E-05,3.19E-05,3.19E-05
2019-11-24 07-AM,3.19E-05,3.20E-05,3.19E-05,3.19E-05
2019-11-24 06-AM,3.19E-05,3.20E-05,3.18E-05,3.19E-05
2019-11-24 05-AM,3.18E-05,3.19E-05,3.18E-05,3.19E-05
2019-11-24 04-AM,3.17E-05,3.19E-05,3.17E-05,3.18E-05
2019-11-24 03-AM,3.17E-05,3.18E-05,3.16E-05,3.17E-05
2019-11-24 02-AM,3.17E-05,3.18E-05,3.16E-05,3.17E-05
2019-11-24 01-AM,3.18E-05,3.18E-05,3.16E-05,3.17E-05
2019-11-24 12-AM,3.20E-05,3.21E-05,3.16E-05,3.18E-05
